reviews_augmented
id;отзыв;labels
ex_000001;Качество хорошее, но мне влики, отказ;"[""Другая проблема""]"
ex_000002;Волшебно! Все супер, берите, не пожалеете);"[""Положительный отзыв""]"
ex_000003;❤️❤️❤️❤️❤️ просто прелесть;"[""Положительный отзыв""]"
ex_000004;Все пучком;"[""Положительный отзыв""]"
ex_000005;Очень вкусноооо))) Спасибо большое!;"[""Положительный отзыв""]"
ex_000006;Голова не пролезает.;"[""Проблема с размером / посадкой""]"
ex_000007;Мне очень понравилось платье, лично такая ткань мне нравится костюмная) да плечики падают, но придумать можно что с ними делать) брала 44, в бедрах даже свободно, на мой верх 42 немного туговато) заказала еще 46 размер, посмотрю как он сядет);"[""Положительный отзыв"", ""Проблема с размером / посадкой""]"
ex_000008;Отличная куртка, размер в размер. Дочь довольна, спасибо. Доставка быстрая, вовремя.;"[""Положительный отзыв""]"
ex_000009;Упаковка была заклеина скотчем. Не хватало двух карандашей;"[""Проблема с комплектацией"", ""Проблема с упаковкой""]"
ex_000010;Качество хорошее. Внуку понравился.;"[""Положительный отзыв""]"
ex_000011;Не держится. Какая то пленка …;"[""Другая проблема""]"
ex_000012;Хорошие крепления для лыж;"[""Положительный отзыв""]"
ex_000013;Пришли без какой либо упаковки, но всё целое, не стала снимать звездочки);"[""Проблема с упаковкой"", ""Положительный отзыв""]"
ex_000014;Все отлично.;"[""Положительный отзыв""]"
ex_000015;Отличная, мужу очень понравилась.;"[""Положительный отзыв""]"
ex_000016;Мист балдёжный. Вкусно пахнет, с шиммером и хватит надолго.;"[""Положительный отзыв""]"
ex_000017;Резинки туговаты, в остально гольфы шикарные;"[""Положительный отзыв"", ""Проблема с размером / посадкой""]"
ex_000018;Супер!;"[""Положительный отзыв""]"
ex_000019;Очень полезная и качественная вещь, все пришло в сборе, спасибо , мы все довольны.;"[""Положительный отзыв""]"
ex_000020;Приятно удивили, положив дополнительно дубовую щепу 50г. Благодарю!;"[""Положительный отзыв""]"
ex_000021;Формы просто бомба. Находка для мастеров. Рекомендую👍;"[""Положительный отзыв""]"
ex_000022;Все отлично!;"[""Положительный отзыв""]"
ex_000023;Платье своих денег стоит, ношу всю зиму с безрукавкой. На фоне многих моих платьев с начёсом это лучше всех, можно бы в другом цвете такое же;"[""Положительный отзыв""]"
ex_000024;Термобелье по качеству понравилось. Но отказ, так как несоответствует размеру. Звезду сняла из-за сильного несоответствия размера. Заказали на рост 160 см. Дочка одела штаны, они ей как бриджи были, по середине голени. Реально подойдут на рост 146-150, не больше. А так, к покупке рекомендую.;"[""Проблема с размером / посадкой"", ""Положительный отзыв""]"
ex_000025;👍👍👍👍👍👍;"[""Положительный отзыв""]"
ex_000026;Классные коньки. Давно искал удобную колодку под мою ногу. Перепробовал массу Коньков. Рекомендую;"[""Положительный отзыв""]"
ex_000027;Купили на подарок, друг в восторге;"[""Положительный отзыв""]"
ex_000028;Аромат приятный. На пол дня хватает. 👍;"[""Положительный отзыв""]"
ex_000029;Манго пришло быстро, упаковка супер! Взяла на подарок к новому году! Беру не первый раз у этого продавца, манго очень нравится.;"[""Положительный отзыв""]"
ex_000030;Хорошие, аккуратные по внешнему виду.;"[""Положительный отзыв""]"
ex_000031;Упаковано отлично. Выглядит выше всяких похвал! Аромат приятный, чем-то дегтярно-кедровым.;"[""Положительный отзыв""]"
ex_000032;Куртка хорошая, качественная! Замок правда злипуоват, а так всё супер, тёплая.;"[""Положительный отзыв"", ""Низкое качество материала""]"
ex_000033;Наклейка супер. Яркая,блестящая. Как будет клеится на окно будет ясно только ближе к Новому году. Спасибо Продавцу.;"[""Положительный отзыв""]"
ex_000034;Отличный подарок;"[""Положительный отзыв""]"
ex_000035;Очень хорошо смотрится;"[""Положительный отзыв""]"
ex_000036;Классные формы. Всё получилось с первого раза.;"[""Положительный отзыв""]"
ex_000037;Задумка не плохая, но качество материала не понравилось. Мне не подошло.;"[""Низкое качество материала""]"
ex_000038;Остаются темные потеки от конденсата,которые не оттираются. Либо смириться и поменять,когда совсем потемнеет,либо после каждого душа протирать тряпкой;"[""Низкое качество материала""]"
ex_000039;Красивые коробочки, пришли целые, не мятые. В сборке не сложные. Хочется подобные на новогоднюю тематику. Рекомендую !;"[""Положительный отзыв""]"
ex_000040;Курта сама по себе не плохая, но сильно маломерит;"[""Проблема с размером / посадкой""]"
ex_000041;Отлично спасибо;"[""Положительный отзыв""]"
ex_000042;Хороший продукт, заказываю второй раз.;"[""Положительный отзыв""]"
ex_000043;Качество делало бы лучшего, но впринцепе за такую сумму;"[""Цена / ценность"", ""Положительный отзыв""]"
ex_000044;Отличная матовая пленка, мне даже больше понравилось чем стекло, до этого было матовое стекло, а сейчас решила попробовать матовую пленку! Идеально😍;"[""Положительный отзыв""]"
ex_000045;В груди оказалась в притык;"[""Проблема с размером / посадкой""]"
ex_000046;2раз заказываю, и отправляете за 2022год.;"[""Другая проблема""]"
ex_000047;👍👍;"[""Положительный отзыв""]"
ex_000048;К сожалению, пришли разбитые. Поэтому отказ;"[""Брак / дефект товара""]"
ex_000049;Ношу с удовольствием. Идеальное качество всего. Рекомендую;"[""Положительный отзыв""]"
ex_000050;Спасибо, все хорошо;"[""Положительный отзыв""]"
ex_000051;Все соответствует. Спасибо продавцу!;"[""Положительный отзыв""]"
ex_000052;Пришли сломанные;"[""Брак / дефект товара""]"
ex_000053;хороший коврик рекомендую;"[""Положительный отзыв""]"
ex_000054;Ноги в -10 холодные. В колготках и тёплых носках ноги можно сказать холодные. Пришли точь в точь как на фото. Широкие. Замок растегивается но только для красоты. Быстро промокают.;"[""Несоответствие ожиданиям / эффекту"", ""Проблема с размером / посадкой""]"
ex_000055;Гель понравился.;"[""Положительный отзыв""]"
ex_000056;Отличный набор да такую цену;"[""Положительный отзыв""]"
ex_000057;Ребенку очень нравится👍🏻👍🏻👍🏻;"[""Положительный отзыв""]"
ex_000058;Упаковка открыта внутри все в норме тренажор понравился отличный;"[""Положительный отзыв"", ""Проблема с упаковкой""]"
ex_000059;Скатерть красивая, выглядит как ткань. Плотная клеенка. Рисунок чёткий спокойный. В наш интерьер идеально вписалась. Благодарю;"[""Положительный отзыв""]"
ex_000060;4,потому что не работал ими. На вид хорошие;"[""Несоответствие ожиданиям / эффекту""]"
ex_000061;Пришли все целые. Пластмассовые. С туфельками и коронами. Ребёнок очень рад 😍 Спасибо большое за такую красоту 🥰;"[""Положительный отзыв""]"
ex_000062;Заказ шёл долго. Катушки сломанные пришли. Нет кивков. Ожидал что удочки будут лучшего качества.;"[""Проблема доставки / получения"", ""Брак / дефект товара"", ""Проблема с комплектацией"", ""Низкое качество материала""]"
ex_000063;все отлично, брала к новому телефоньчику, смотрится очень прикольно, и отпечатков правда практически не остается;"[""Положительный отзыв""]"
ex_000064;Больше брать не буду;"[""Другая проблема""]"
ex_000065;Очень понравилась, на рост 170 размер М идеально.;"[""Положительный отзыв""]"
ex_000066;Флешку получил все быстро все хорошо получил ну не проверял еще;"[""Нейтральный / информационный отзыв""]"
ex_000067;Сильно тонкий, очень большой, я очень люблю когда свободная одежда, но тут даже для меня ту мач 😅 В общем, однозначно на любителя);"[""Проблема с размером / посадкой"", ""Несоответствие ожиданиям / эффекту""]"
ex_000068;Свеча упакована в крафт бумагу и коробку, думаю при транспортировки при такой упаковке с ней точно ничего не случиться! Аромат свечи яркий, Как по мне напоминает фруктовую жвачку орбит , а подруга сказала, что запах похож на бабл гам. В деле ещё не испытывала, если что дополню отзыв.;"[""Положительный отзыв"", ""Нейтральный / информационный отзыв""]"
ex_000069;Хорошие джинсы,но пришли с браком,затяжка на ткани;"[""Положительный отзыв"", ""Брак / дефект товара""]"
ex_000070;Добрый день Встали шипы в шину хорошо а качество покажет зима.Доставка была быстрее заявленной;"[""Положительный отзыв"", ""Проблема доставки / получения""]"
ex_000071;Набор очень понравился. Выглядит презентабельно. Упаковано аккуратно. Пакетик, правда, маловат. И цена, мне кажется, завышена, 😶;"[""Положительный отзыв"", ""Цена / ценность""]"
ex_000072;Очень странно, почему то пришло половина бутылька;"[""Проблема с комплектацией""]"
ex_000073;Оказалась большая;"[""Проблема с размером / посадкой""]"
ex_000074;Времени не было испытать.;"[""Нейтральный / информационный отзыв""]"
ex_000075;Жена заказала 52-54 привезли 50-52 мало. Отказ.;"[""Проблема с размером / посадкой""]"
ex_000076;Красивые качественные . Но у меня полные ноги не застегнулись поэтому возврат;"[""Проблема с размером / посадкой"", ""Другая проблема""]"
ex_000077;Большемерит, мерила и 48, и 46, оба оказались велики. Фасон, ткань, качество пошива - без нареканий.;"[""Проблема с размером / посадкой""]"
ex_000078;Сплошная синтетика.;"[""Низкое качество материала""]"
ex_000079;примерно на 42- 43 размер, легкие, тоненькие, резинка не тугая;"[""Проблема с размером / посадкой""]"
ex_000080;Мне не понравилось совсем (( ткань тонкая, вытачки где то не на месте;"[""Низкое качество материала""]"
ex_000081;Брюки ооочень хорошо сели, для брюк без застёжки на резинке шикарно. На мой рост 164 длинноваты, нужно будет подшить 2 см, каблуки не люблю, платформы 3,5 см не хватило. Выкупила, легче подшить, так хорошо сидят);"[""Положительный отзыв"", ""Проблема с размером / посадкой""]"
ex_000082;Вкусняшки;"[""Нейтральный / информационный отзыв""]"
ex_000083;Сшито хорошо. Всё соответствует описанию. Отказ, т.к. не сели на субтильную фигуру.;"[""Проблема с размером / посадкой"", ""Положительный отзыв""]"
ex_000084;Это нормально, присылать просроченный товар?;"[""Другая проблема""]"
ex_000085;Пойдёт, чуть больше размером для редми7;"[""Проблема с размером / посадкой"", ""Положительный отзыв""]"
ex_000086;Классное худи но с размером я жутко прогадала поэтому отказ ог у меня 120 и 64 размер оказался не как оверсайз а очень огромный.;"[""Проблема с размером / посадкой"", ""Положительный отзыв""]"
ex_000087;Товар не соответствует образцу на фото. На плечах полученного товара спереди вшиты черные полосы, которых нет на образце;"[""Несоответствие описанию""]"
ex_000088;Сахарница хорошая, крышка не фиксируется, берёшь в руки сахарницу и она тут же слетает, ловить надо, чтоб не разбилась;"[""Брак / дефект товара""]"
ex_000089;защитное стекло ужасное. отклеивается постоянно;"[""Низкое качество материала""]"
ex_000090;Заказывал защитную матовую пленку на iPhone XR,а пришло стекло антишпион на айфон 14….обнаружилось уже дома….не приятный осадок….;"[""Несоответствие описанию""]"
ex_000091;Застежки все развалились;"[""Брак / дефект товара""]"
ex_000092;Хороший за свою цену;"[""Положительный отзыв"", ""Цена / ценность""]"
ex_000093;Такого редкостного конструкторского решения не видел давно. Грубые слова одни приходят на ум. Лучше бы другим занялись, изобретатели. Настолько все хлипко, не продумано. Не тратьте деньги и свои силы на это недоразумения. Вам даже одну звезду поставить жалко.;"[""Низкое качество материала"", ""Несоответствие ожиданиям / эффекту"", ""Цена / ценность""]"
ex_000094;На рост 185 см штанишки коротковаты, но кто любит бриджи, тем понравится) Материал хороший, цвет насыщенный. На свой 46р мерила 50р, свободненько);"[""Проблема с размером / посадкой"", ""Положительный отзыв""]"
ex_000095;Эта модель вешалки для брюк мне нравиться больше других. Самая удобная. Плотно закрепляется одежда и не соскальзывает, как с деревянных плечиков этой модели. Упаковали как яйцо у Кащея бессмертного, еле отковыряла из множества слоёв. Доставка 🚚 была с задержкой. Цвет яркий.;"[""Положительный отзыв"", ""Проблема с упаковкой"", ""Проблема доставки / получения""]"
ex_000096;Мыло очень хорошее,но пришло без дозатора;"[""Проблема с комплектацией"", ""Положительный отзыв""]"
ex_000097;Бейка по краю пришита не очень аккуратно. Отказываться не стала;"[""Низкое качество материала""]"
ex_000098;Напишите, что это детские манжеты, я заказывала для одежды для взрослых. Оказались маленькие.;"[""Проблема с размером / посадкой"", ""Несоответствие описанию""]"
ex_000099;Ставлю одну звезду , костюм пришёл не комплект , одно худи. А так качество хорошее. Буду перезаказывать;"[""Проблема с комплектацией"", ""Положительный отзыв""]"
ex_000100;На размер 70 конечно налезут тяжко, на 56 хорошо, тёплые приятные, и качество хорошее;"[""Проблема с размером / посадкой"", ""Положительный отзыв""]"
ex_000101;Уважаемые покупатели, это не Филипс от слова совсем. При извлечении из коробки запас сгоревшей электрики, на коробке ни слова о том что производитель Филипс. Ужасное качество пластика. Зазоры на соединениях изделия. Насадки также из ужасного пластика. Однако стоимость как за настоящий Филипс. Не обманитесь. Отдельный респект сотрудникам Вайльдберис за помощь в возврате товара и быстрому возврату денег.;"[""Подделка / оригинальность"", ""Низкое качество материала"", ""Цена / ценность""]"
ex_000102;Одна из 3-х не работала;"[""Брак / дефект товара""]"
ex_000103;скол;"[""Брак / дефект товара""]"
ex_000104;Оооо очень узкие, даже на тонкую ногу узкие.......;"[""Проблема с размером / посадкой""]"
ex_000105;Покупала в подарок но когда увидела , как сёл, было стыдно за подарок! Рукава в зоне подмышек, как будто не правильно вшиты, после стирки и часть свитера сжалось, тянула с скрипом! Деньги на ветер;"[""Низкое качество материала"", ""Несоответствие ожиданиям / эффекту""]"
ex_000106;Не подошёл к мясорубке rmg 1205 8;"[""Проблема с размером / посадкой""]"
ex_000107;Качество отличное, но большемерит;"[""Положительный отзыв"", ""Проблема с размером / посадкой""]"
ex_000108;На худеньких девочках висит.;"[""Проблема с размером / посадкой""]"
